distinct_1gram,distinct_2gram,distinct_3gram,self_bleu,kl_divergence,vocab_coverage,rare_token_survival,repetition_rate,mean_length,length_std,perplexity,domain,model,mixing_ratio,generation,track
0.0224719101123595,0.3084208919045301,0.7006578001093137,0.0274644469007844,0.1652966021523805,0.5637128828618191,0.3985209531635168,0.0,210.574,5.803492396824519,-1.0,creative_fiction,distilgpt2,1.0,1,creative_fiction_distilgpt2_100pct
0.0191997196982968,0.2800176973468252,0.6566268803686407,0.0293788921685014,0.1899057374955198,0.5005845218611176,0.3340180772391126,0.0,211.201,5.587181668784361,-1.0,creative_fiction,distilgpt2,1.0,2,creative_fiction_distilgpt2_100pct
0.0173427130720225,0.2587114947404544,0.6143126014683276,0.0324518996344265,0.2086913137827792,0.4463408931494038,0.2851273623664749,0.0,210.809,6.7258099140549605,-1.0,creative_fiction,distilgpt2,1.0,3,creative_fiction_distilgpt2_100pct
0.015889263255664,0.2371406941144541,0.5728364821096243,0.0340696325205997,0.2274740643998668,0.4124386252045826,0.2539030402629416,0.0,211.023,6.726252374093615,-1.0,creative_fiction,distilgpt2,1.0,4,creative_fiction_distilgpt2_100pct
0.0156281954332948,0.2208199330023272,0.5333691857813033,0.037664541893216,0.2440365674647273,0.3951367781155015,0.2403451109285127,0.0,210.261,7.840209117109058,-1.0,creative_fiction,distilgpt2,1.0,5,creative_fiction_distilgpt2_100pct
0.0159260518039472,0.2032774899833095,0.4896497392497934,0.0462568142123539,0.2601219082077791,0.3719897124152443,0.2226787181594083,0.0,208.903,7.379132130542182,-1.0,creative_fiction,distilgpt2,1.0,6,creative_fiction_distilgpt2_100pct
0.0157065045102164,0.1842717453208104,0.4414628941676285,0.0593196162772397,0.2761417423455528,0.3453355155482815,0.1963845521774856,0.0,208.194,7.686375218527912,-1.0,creative_fiction,distilgpt2,1.0,7,creative_fiction_distilgpt2_100pct
0.0154327847624201,0.168793272545421,0.3986787794810745,0.0724911871395478,0.2908436708465031,0.3268646247369651,0.1848808545603944,0.0,206.962,7.053549177541757,-1.0,creative_fiction,distilgpt2,1.0,8,creative_fiction_distilgpt2_100pct
0.015064499458848,0.151740659814421,0.3575655530282889,0.0799445993824705,0.3037387851655014,0.3013794715922375,0.1680361544782251,0.0,205.118,9.387016352388017,-1.0,creative_fiction,distilgpt2,1.0,9,creative_fiction_distilgpt2_100pct
0.0147190774345069,0.1388153907554951,0.3211836417384243,0.093802940739523,0.3159395413786895,0.2892214168809913,0.1548890714872637,0.0,203.953,9.606913708366491,-1.0,creative_fiction,distilgpt2,1.0,10,creative_fiction_distilgpt2_100pct
0.0289848096879151,0.3440008899034648,0.7401246087751016,0.028124142293116,0.1309031714924002,0.6983867196633154,0.5534100246507806,0.0,207.764,8.813189207091835,-1.0,creative_fiction,distilgpt2,0.75,0,creative_fiction_distilgpt2_75pct
0.0226646262641624,0.3100813691408488,0.7035448334101029,0.0286843887989841,0.1650119362318968,0.5817161561842413,0.4231717337715694,0.0,210.416,10.50366336094222,-1.0,creative_fiction,distilgpt2,0.75,1,creative_fiction_distilgpt2_75pct
0.0198677690643975,0.2844263113596485,0.662350630921609,0.0291155289406526,0.1880624633698641,0.5321487023614683,0.3640098603122432,0.0,211.297,7.98516067465145,-1.0,creative_fiction,distilgpt2,0.75,2,creative_fiction_distilgpt2_75pct
0.0179475030796929,0.2614348281443397,0.6217497369176314,0.0307394320062995,0.2102721833578852,0.4851531447276128,0.3085456039441249,0.0,211.06,8.524106991351058,-1.0,creative_fiction,distilgpt2,0.75,3,creative_fiction_distilgpt2_75pct
0.0167885354903483,0.2421772397647462,0.5815802558855591,0.0328044044523851,0.2296369886468705,0.4561608604161796,0.2863599013968775,0.0,211.156,8.166129070740922,-1.0,creative_fiction,distilgpt2,0.75,4,creative_fiction_distilgpt2_75pct
0.0162226500630696,0.220775879320367,0.5316883539673877,0.0392526159869811,0.2506477335527655,0.4302080897825578,0.2637633525061627,0.0,210.878,7.751458959447569,-1.0,creative_fiction,distilgpt2,0.75,5,creative_fiction_distilgpt2_75pct
0.0163148021746705,0.2071193220241435,0.4936747902439964,0.0433063500248513,0.2680187571420547,0.4126724339490297,0.2432210353327855,0.0,209.503,10.872441814054469,-1.0,creative_fiction,distilgpt2,0.75,6,creative_fiction_distilgpt2_75pct
0.0163669107936126,0.1924333453975147,0.4540235180021821,0.0512405671606739,0.2841393534979569,0.3965396305821838,0.2271980279375513,0.001,208.225,11.210190676344448,-1.0,creative_fiction,distilgpt2,0.75,7,creative_fiction_distilgpt2_75pct
0.0161540655929523,0.1775523391685007,0.4135708740802945,0.0608844230604121,0.3038589326231523,0.3808744447042319,0.2202136400986031,0.0,206.821,13.430076656519873,-1.0,creative_fiction,distilgpt2,0.75,8,creative_fiction_distilgpt2_75pct
0.015324130785283,0.1606815317923293,0.3702753047125948,0.0741007846192567,0.3182939895958435,0.3764320785597381,0.2177485620377978,0.001,206.537,10.209928060471336,-1.0,creative_fiction,distilgpt2,0.75,9,creative_fiction_distilgpt2_75pct
0.0144709440337089,0.1451860740784101,0.3295702429913872,0.0905528612440779,0.3266322213340633,0.3640402151040449,0.2058340180772391,0.001,205.999,13.431641709039145,-1.0,creative_fiction,distilgpt2,0.75,10,creative_fiction_distilgpt2_75pct
0.0293102697261115,0.3495139020606272,0.745886216687763,0.0265132988464959,0.1301275644360016,0.7009586158522328,0.5554642563681184,0.0,206.617,11.463869809100242,-1.0,creative_fiction,distilgpt2,0.5,0,creative_fiction_distilgpt2_50pct
0.0227939045193417,0.3147370984144262,0.7085837918743494,0.028147515738821,0.1636295236677137,0.5980827682955343,0.4354971240755957,0.0,210.451,9.865677827701449,-1.0,creative_fiction,distilgpt2,0.5,1,creative_fiction_distilgpt2_50pct
0.0203547652956456,0.291122932622141,0.6717904380681248,0.0292671713541295,0.1882708407374052,0.546878653261632,0.3771569433032046,0.0,211.351,9.49746276644452,-1.0,creative_fiction,distilgpt2,0.5,2,creative_fiction_distilgpt2_50pct
